Activation	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	DREADD	DREADD	DREADD	DREADD	DREADD	DREADD	DREADD	DREADD	DREADD	DREADD	DREADD	DREADD	DREADD
Time Point	Post9	Post9	Post9	Post9	Post9	Post9	Post9	Post9	Post9	Post9	Post9	Post9	Post9	Post9	Post9	Post9	Post9	Post9	Post9	Post9	Post9	Post9	Post9	Post9	Post9	Post9	Post9
Bacteria|Bacteroidetes|Flavobacteriia|Flavobacteriales	2	7	2	3	11	3	2	5	4	1	3	2	1	4	4	1	3	2	0	1	9	3	3	3	0	2	14
Bacteria|Bacteroidetes|Saprospiria|Saprospirales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Bacteroidetes|Sphingobacteriia|Sphingobacteriales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Calditrichaeota|Calditrichae|Calditrichales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Chlorobi|Chlorobia|Chlorobiales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Chloroflexi|Dehalococcoidia|Dehalococcoidales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Chrysiogenetes|Chrysiogenetes|Chrysiogenales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Cyanobacteria||	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Deferribacteres|Deferribacteres|Deferribacterales	70	262	9530	561	5141	143	13387	403	507	812	612	4466	439	398	346	1827	2632	1810	0	893	1381	1455	1423	11183	170	7194	300
Bacteria|Deinococcus-Thermus|Deinococci|Deinococcales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Firmicutes||	89	550	1455	451	1165	637	4367	477	947	816	2855	1744	1038	2980	567	1619	631	756	0	318	581	590	1103	2793	51	1509	231
Bacteria|Firmicutes|Bacilli|Bacillales	2	1	1	2	4	2	1	0	4	3	0	1	2	1	1	1	4	0	0	3	5	2	4	2	0	4	0
Bacteria|Firmicutes|Bacilli|Lactobacillales	303	1724	3383	2774	445	4022	175	119	1769	107	877	15	1266	1526	2135	1864	700	1305	0	19	2824	811	1639	1117	1002	1013	2556
Bacteria|Firmicutes|Clostridia|	0	0	6	3	25	8	18	4	7	4	5	6	3	5	6	7	3	0	0	0	0	7	4	16	0	2	0
Bacteria|Firmicutes|Clostridia|Clostridiales	1788	15141	41853	7299	19417	9907	94936	10850	19040	14924	80795	43665	19115	81134	11642	38086	10332	11633	0	6801	11122	9768	19851	72252	1444	42421	2851
Bacteria|Firmicutes|Clostridia|Halanaerobiales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Firmicutes|Clostridia|Thermoanaerobacterales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Firmicutes|Erysipelotrichia|Erysipelotrichales	8	50	24	64	34	37	42	17	55	41	30	27	26	42	18	36	40	35	0	47	31	17	32	19	13	10	39
Bacteria|Firmicutes|Negativicutes|Acidaminococcales	0	2	3	0	0	0	2	7	7	0	0	0	0	1	0	0	0	0	0	4	4	0	0	0	0	0	0
Bacteria|Firmicutes|Negativicutes|Selenomonadales	0	0	7	0	6	1	0	1	1	0	0	0	1	1	0	0	3	0	0	0	0	2	0	0	0	2	0
Bacteria|Firmicutes|Negativicutes|Veillonellales	0	0	2	0	2	0	22	0	4	2	6	1	1	3	0	8	0	2	0	0	2	0	0	8	0	2	0
Bacteria|Firmicutes|Tissierellia|	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Firmicutes|Tissierellia|Tissierellales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Fusobacteria|Fusobacteriia|Fusobacteriales	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Gemmatimonadetes|Gemmatimonadetes|Gemmatimonadales	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Kiritimatiellaeota|Kiritimatiellae|Kiritimatiellales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Planctomycetes|Planctomycetia|Planctomycetales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Proteobacteria|Alphaproteobacteria|Caulobacterales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Proteobacteria|Alphaproteobacteria|Rhodobacterales	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Proteobacteria|Alphaproteobacteria|Rhodospirillales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Proteobacteria|Alphaproteobacteria|Sphingomonadales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Proteobacteria|Betaproteobacteria|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales	2269	7648	6331	4482	11995	8367	839	9660	5493	240	77	4386	2818	858	5271	1574	3532	2311	0	4073	9430	5175	7090	1391	840	2933	8715
Bacteria|Proteobacteria|Betaproteobacteria|Hydrogenophilales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Proteobacteria|Betaproteobacteria|Neisseriales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Proteobacteria|Betaproteobacteria|Rhodocyclales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Proteobacteria|Deltaproteobacteria|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Proteobacteria|Deltaproteobacteria|Desulfovibrionales	0	0	2	0	2	0	11	0	2	1	2	1	0	1	0	2	2	0	0	0	2	4	4	2	0	0	0
Bacteria|Proteobacteria|Gammaproteobacteria|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Proteobacteria|Gammaproteobacteria|Alteromonadales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Proteobacteria|Gammaproteobacteria|Enterobacterales	28	20	2	0	92	1264	6	128	22	14	29	6	3	12	37	2	17	3	0	54	24	26	26	14	26	4	12
Bacteria|Proteobacteria|Gammaproteobacteria|Nevskiales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Proteobacteria|Gammaproteobacteria|Oceanospirillales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Proteobacteria|Gammaproteobacteria|Pseudomonadales	2	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Proteobacteria|Gammaproteobacteria|Xanthomonadales	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Spirochaetes|Spirochaetia|Spirochaetales	2	3	3	3	1	1	3	0	0	3	2	10	3	2	0	0	0	2	0	0	0	0	0	0	0	1	1
Bacteria|Synergistetes|Synergistia|Synergistales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Tenericutes|Mollicutes|Acholeplasmatales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Tenericutes|Mollicutes|Entomoplasmatales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Tenericutes|Mollicutes|Mycoplasmatales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Verrucomicrobia|Verrucomicrobiae|Verrucomicrobiales	27050	53870	11342	253	21450	20	7800	196	31439	24895	173	13718	1366	1574	103763	1757	96491	52746	0	73658	214955	58676	85089	9500	17276	39708	167652
BacteriaPlasmid|Bacteroidetes|Bacteroidia|Bacteroidales	0	3	4	1	3	8	2	14	2	3	1	0	0	0	5	0	7	2	0	4	20	7	12	0	1	0	10
BacteriaPlasmid|Firmicutes|Bacilli|Bacillales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
