Activation	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	DREADD	DREADD	DREADD	DREADD	DREADD	DREADD	DREADD	DREADD	DREADD	DREADD	DREADD	DREADD	DREADD
Time Point	Cecum	Cecum	Cecum	Cecum	Cecum	Cecum	Cecum	Cecum	Cecum	Cecum	Cecum	Cecum	Cecum	Cecum	Cecum	Cecum	Cecum	Cecum	Cecum	Cecum	Cecum	Cecum	Cecum	Cecum	Cecum	Cecum	Cecum
"Viruses|dsDNA_viruses,_no_RNA_stage|Herpesvirales"	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Viruses|dsDNA_viruses,_no_RNA_stage|Nudiviridae"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Viruses|dsDNA_viruses,_no_RNA_stage|unclassified_dsDNA_phages"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Viruses|dsDNA_viruses,_no_RNA_stage|unclassified_dsDNA_viruses"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Viruses|unclassified_bacterial_viruses|Staphylococcus_phage_phi2958PVL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Viruses|unclassified_bacterial_viruses|Staphylococcus_phage_tp310-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Viruses|unclassified_bacterial_viruses|Staphylococcus_phage_tp310-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Archaea|Euryarchaeota|Halobacteria|Natrialbales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Archaea|Euryarchaeota|Methanomicrobia|Methanomicrobiales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Archaea|Euryarchaeota|Methanomicrobia|Methanosarcinales	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|||	1	3	1	1	2	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	1	0	5	0	0	0
Bacteria|||Haloplasmatales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Actinobacteria|Acidimicrobiia|Acidimicrobiales	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales	3	3	3	1	8	4	10	0	0	2	0	0	1	6	2	0	1	9	2	4	0	3	3	0	2	0	3
