ClusterID,p_value,control_mean,treatment_mean,foldchange,padj
767,0.19843191573518854,44537325.066168584,24804730.438964948,0.5569425285895111,0.385377179329411
13067,0.20005588839954208,238888622.6903264,220408123.59261522,0.922639685014771,0.3868515882308148
2115,0.19995556849312804,41611043.77025256,64558226.08709323,1.5514685582880148,0.3868515882308148
30859,0.1996890105887157,22897950.41229994,31499749.617079686,1.3756580414358472,0.3868515882308148
30882,0.20038364939874412,2856316.327503228,575450.6351768054,0.20146600348002075,0.3869278525080786
10783,0.20335080686669085,56908464.18317988,30325639.987382207,0.5328845264523127,0.38818419801914095
14165,0.20307340380825634,26253127.91658284,20152829.583603628,0.767635370826577,0.38818419801914095
20158,0.20363761207561493,7981340.075716299,96686596.87424749,12.11408058759734,0.38818419801914095
23733,0.20202725691649456,5539553.48439579,2968562.2716490394,0.5358847567788808,0.38818419801914095
279,0.20312794849827026,53179526.05630995,62595526.5716448,1.1770606324201642,0.38818419801914095
31104,0.20288706715847118,25740950.8173032,72464534.72973031,2.815146000007866,0.38818419801914095
4944,0.20320401556229842,2970380328.435473,3553114309.2502675,1.1961816051757002,0.38818419801914095
5606,0.20173829123415454,3096644841.3956523,3559028443.776929,1.1493176085937196,0.38818419801914095
774,0.20192614436330655,12602031.317186236,6536881.549589268,0.5187164977660771,0.38818419801914095
2907,0.20536236056859825,71793830.3537009,18945702.30485115,0.26389039575563633,0.390899736517537
5865,0.2056447198072885,20360768.185692884,31788788.018801898,1.5612764571986661,0.390899736517537
11153,0.20893531045567973,291652872.4263441,121871603.26994166,0.4178652596700206,0.39659290895547694
24558,0.2093476379338345,11130994.203622129,24477023.320267893,2.1989970412798203,0.3968143080610253
11975,0.21001630354766293,268394908.6991384,142633402.73070112,0.5314311043455311,0.3975202811861264
30466,0.21143304314845907,8683668.194086017,6201966.215826341,0.7142104093809306,0.3986184655934807
30777,0.21096691529407757,63234169.37317955,56072391.15559546,0.8867419578911758,0.3986184655934807
31899,0.21148759128357544,16668326.78601261,32795288.115412407,1.967521307713555,0.3986184655934807
1885,0.2121524636234113,7078407.801999005,14953484.547633883,2.112549172910169,0.3993108081102636
2897,0.2125903631157269,218417128.1196912,342427551.9045125,1.5677687681932362,0.3995746040634531
14726,0.21361254832815804,67297781.43930171,723916245.9209131,10.756911007145742,0.4007885183010516
20758,0.21383351647060578,1329145.597409239,2350065.7228901847,1.7681025520988187,0.4007885183010516
30495,0.21691776076933217,163234132.06859896,153954135.5448617,0.9431491661325013,0.40600228026840135
16878,0.21891907573632396,5206999.251203637,3651502.0335559812,0.7012680158753449,0.4091774368219314
3260,0.2203508007498716,30265161.489296824,22654920.970879138,0.7485478304449483,0.4112806322758382
8136,0.2218926491035073,180170731.18659297,105094421.67601322,0.5833046299133496,0.41358324319014833
13245,0.22220107638108363,15778223.665546779,11303141.175354384,0.7163760265381359,0.41358369556645525
13639,0.22290609722624435,1802299591.6392426,1183445789.042677,0.6566310032652781,0.41365597177942176
30836,0.22297256130892612,24716200.84645815,19108239.898262918,0.7731058675630217,0.41365597177942176
90,0.22316462262913664,23868462.94716859,51949882.28091599,2.1765072345003507,0.41365597177942176
28594,0.22366251840840343,11502810.597319499,7419893.470812124,0.645050477710307,0.4140070340745895
13524,0.22579524558495473,62107038.50379099,76375511.44266555,1.229740030801881,0.41680497878268125
5153,0.225561097296195,497564540.6518033,332990384.8041719,0.6692405860915223,0.41680497878268125
14812,0.22638843782256296,58768563.91351954,47203029.50712228,0.8032020244119553,0.4169805454576143
5797,0.22651178661594698,66103733.60028715,108283351.71473989,1.638082235558772,0.4169805454576143
1531,0.22685786699632743,11012040.823776212,18183603.24715886,1.651247351707819,0.4170455582316047
1045,0.22722835262956875,58187076.55846404,93734478.02890483,1.6109157492166526,0.4171551973035311
7885,0.22761444361402863,261679532.0973732,220544030.76704434,0.8428019914258255,0.41729314662571915
16439,0.22871957138492316,9598806.648070253,15100871.888804967,1.5732030493437275,0.41872543882315383
2465,0.22901972585409458,11672843.635259084,7765718.622946884,0.6652807889492919,0.41872543882315383
3926,0.23006891122908646,902091734.773607,917187155.3806541,1.0167337977116435,0.4200713998223592
3193,0.23074857396388593,354767561.6143595,248288720.84023744,0.6998630870038027,0.42073992698306373
8811,0.2311936864642576,92207607.58788952,316085049.84342176,3.4279714886012953,0.4209795484871556
1831,0.2323649257056631,37774431.48129981,18127169.870778307,0.47987935648355534,0.42253892994173425
19634,0.23456461986997,180642160.9529281,107240217.29537913,0.5936610630080089,0.4259617318883623
7658,0.23508386351389782,169893831.89096662,105336046.02000688,0.6200110083314194,0.4263277632914201
19015,0.2364467371560248,35139954.85087507,56075218.98047196,1.595768099829404,0.428220676468806
4115,0.23687411482473056,275697780.72319263,455670518.6819992,1.6527899408066098,0.42841652573421624
21687,0.23929368467603282,3156703.159022099,18324820.97290089,5.805050411701573,0.4316292000473603
29810,0.239201173499164,883554945.8139768,1517088003.5891817,1.71702734592421,0.4316292000473603
1034,0.24090761128308125,20392442.404232915,16944468.05246819,0.8309190099245288,0.43305426422380566
11957,0.2410518147356057,10068330.942782812,4015596.136320496,0.39883434097872583,0.43305426422380566
18497,0.24097566770846277,45104493.492580675,32583194.624266457,0.7223935377885604,0.43305426422380566
26091,0.24257440101912456,404617178.7516656,414009713.33993214,1.0232133855938708,0.43462596284067445
5804,0.2422766260680166,435845.9972525487,3343627.561630982,7.671580289157811,0.43462596284067445
28094,0.24327522541145694,82111973.18238495,32619459.41376142,0.3972558221358039,0.4351105928261479
30902,0.24356775628872332,28042631.752612706,15575779.766605664,0.5554321685643675,0.4351105928261479
841,0.24381756021256573,29438249.179887418,18707788.635084935,0.63549257025334,0.4351105928261479
11661,0.2446950586930175,199332643.07112885,246879292.25561497,1.2385291663820452,0.43609663846750263
30806,0.2450649286063052,5520162.663613279,3674340.5520538944,0.6656217897841469,0.4361765705433177
30182,0.24765380089416075,42801608.805659525,27620301.036445234,0.6453098798658495,0.4402005308608791
20533,0.24822440148727717,73068882.79661804,60327140.27837073,0.8256201267821073,0.4406311465554576
16532,0.2495836545930109,306201716.84653986,367244098.9994958,1.199353494100586,0.4415062431069239
19727,0.24970435060965365,17924209.815519623,5883462.9455430005,0.32824113342217304,0.4415062431069239
30780,0.24951199256969886,11662625.87051474,16502464.401072158,1.4149870350204252,0.4415062431069239
11335,0.2516019209174195,56110022.96544664,39712709.89409377,0.7077649909099025,0.4430587205117236
11452,0.25223313149847754,5809344.41049849,9445445.906724557,1.6259056511875942,0.4430587205117236
17412,0.2515606568040974,62236180.936657995,88072754.93426262,1.4151375230414647,0.4430587205117236
23571,0.25203707659675784,48986351.91685146,39945300.35561623,0.8154373369835469,0.4430587205117236
7838,0.25121759397344373,8005739.266829327,4371048.00065956,0.5459893027956072,0.4430587205117236
6714,0.2536131932081122,185259925.23536023,165149266.78405872,0.8914462562491469,0.44490052978468836
28612,0.2559075176146866,5185565.242218882,4221207.365790865,0.8140303262262357,0.4477547439881479
31889,0.2558891473913615,202956990.3407852,137401283.17068908,0.6769970472067924,0.4477547439881479
33746,0.2567467300320655,96370188.7168059,72629383.04482435,0.7536498995374342,0.4486381662799894
4231,0.2571257407040488,24175228.48626196,20170800.155346587,0.8343582012806635,0.44871618208690967
15864,0.25908165055967647,176673429.17262006,359378154.71094453,2.0341381066408775,0.4515423052611504
31296,0.2598825436168581,36497342.288081296,58363722.80112602,1.5991225426895121,0.45235067903219656
9928,0.2602335327076343,49158799.63413166,19636703.851714663,0.3994545025074334,0.4523748716238927
16981,0.26126310305165845,13027989.245082442,22563274.14912112,1.7319076432027205,0.4532417661652015
21938,0.26140769523984053,854191803.3058293,2651524752.3131795,3.1041327510419165,0.4532417661652015
27461,0.2619481729434573,1634229.0417863082,870569.3718451735,0.5327095220958686,0.45353523937308904
6844,0.26225286568816475,113551474.5665734,149444847.4282176,1.3160978137769623,0.45353523937308904
4416,0.2627256251213184,692459219.9879215,1025365807.7730886,1.4807598457436584,0.45376806809885367
16098,0.26363182718855827,30837163.018044908,22363297.841905784,0.7252060712854651,0.4547479589807779
20585,0.26557531832192627,87604676.21190071,40877867.36333725,0.4666174128018085,0.45695567210095706
22953,0.265592715528127,35279774.97123594,43106927.226875864,1.2218594722336382,0.45695567210095706
12642,0.26926999148420977,198187906.9043583,145714384.7541037,0.7352334813466831,0.46023510393166217
12927,0.26833239156489797,2397510.203825058,4828806.8322281195,2.0140922964682693,0.46023510393166217
22598,0.2685521261536849,168246342.27938366,107187071.72066738,0.6370841129055661,0.46023510393166217
24001,0.2689642119771713,11068414.501172863,9028494.340706423,0.8156989729423053,0.46023510393166217
