Cluster,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
Cluster189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Cluster190,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
Cluster191,1,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,1
Cluster192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster194,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0
Cluster195,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Cluster196,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0
Cluster197,6,0,2,2,1,3,4,1,4,0,3,0,2,0,0,1,0
Cluster198,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0
Cluster199,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Cluster200,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0
Cluster201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster203,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Cluster206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster207,2,0,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Cluster208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Cluster209,0,0,2,7,2,0,3,5,2,0,0,0,0,0,0,0,3
Cluster210,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Cluster211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Cluster212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster213,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Cluster214,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster215,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Cluster216,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster217,5,9,0,11,10,0,8,4,5,5,0,0,4,0,0,3,11
Cluster218,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0
Cluster219,2,0,2,4,0,0,3,4,4,3,0,0,0,0,0,2,2
Cluster220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Cluster222,0,0,0,2,0,0,3,0,2,0,0,0,0,0,0,0,0
Cluster223,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Cluster224,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Cluster225,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Cluster226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster227,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster228,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0
Cluster229,1,0,3,1,1,1,1,1,1,0,0,0,0,0,0,0,3
Cluster230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster231,0,7,0,8,0,3,6,7,4,4,0,2,0,0,0,0,6
Cluster232,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster234,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Cluster235,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0
Cluster236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Cluster237,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
Cluster238,3,0,0,2,3,5,4,0,2,2,0,0,0,0,0,0,0
Cluster239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Cluster240,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Cluster241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Cluster243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
Cluster244,7,7,6,8,5,3,7,8,7,7,3,3,4,5,2,8,8
Cluster245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster246,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Cluster247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster248,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Cluster249,8,4,4,6,5,4,5,5,7,6,3,5,2,4,5,6,7
Cluster250,0,0,2,2,0,0,0,2,2,0,0,0,0,0,0,0,0
Cluster251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Cluster252,5,4,6,3,0,3,0,0,0,2,0,2,2,5,3,0,5
Cluster253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster254,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Cluster255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster258,0,1,3,0,0,1,2,0,1,0,1,1,0,2,0,0,1
Cluster259,1,0,0,0,0,0,0,1,0,0,2,0,0,0,1,2,0
Cluster260,5,11,6,17,3,0,13,8,13,11,0,0,0,5,0,0,7
Cluster261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
Cluster262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster263,12,12,6,3,5,5,10,8,3,9,4,2,4,6,0,4,5
Cluster264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster266,0,0,0,0,2,4,0,0,0,0,3,2,5,2,6,3,3
Cluster267,9,0,5,0,5,8,0,2,1,1,3,1,2,8,0,0,1
Cluster268,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Cluster269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster270,2,0,0,6,0,0,0,2,2,0,0,0,0,0,4,4,4
Cluster271,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Cluster272,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Cluster273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster274,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Cluster275,4,1,3,1,2,9,7,1,2,1,9,1,0,1,0,1,2
Cluster276,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2
Cluster277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
